kx ky BerryCurvature
1.413716694115406902e+00 1.570796326794896558e-01 6.256964735063068442e-06
1.570796326794896558e+00 1.570796326794896558e-01 9.505848786709663949e-06
1.727875959474386436e+00 1.570796326794896558e-01 1.447744362035485759e-05
1.884955592153876092e+00 1.570796326794896558e-01 2.214749815799437783e-05
2.042035224833365525e+00 1.570796326794896558e-01 3.401457331166340536e-05
2.199114857512855181e+00 1.570796326794896558e-01 5.225041280236517624e-05
2.356194490192344837e+00 1.570796326794896558e-01 7.962847834742052934e-05
2.513274122871834493e+00 1.570796326794896558e-01 1.187257513050431613e-04
2.670353755551324593e+00 1.570796326794896558e-01 1.696214037508522038e-04
2.827433388230813804e+00 1.570796326794896558e-01 2.260151639393854876e-04
2.984513020910303460e+00 1.570796326794896558e-01 2.727975154541649981e-04
3.141592653589793116e+00 1.570796326794896558e-01 2.913360223995246218e-04
3.298672286269282772e+00 1.570796326794896558e-01 2.727975154541532887e-04
3.455751918948772872e+00 1.570796326794896558e-01 2.260151639393883066e-04
3.612831551628262527e+00 1.570796326794896558e-01 1.696214037508461323e-04
3.769911184307752183e+00 1.570796326794896558e-01 1.187257513050396377e-04
3.926990816987241395e+00 1.570796326794896558e-01 7.962847834742231828e-05
4.084070449666731051e+00 1.570796326794896558e-01 5.225041280236325178e-05
4.241150082346220707e+00 1.570796326794896558e-01 3.401457331166131827e-05
4.398229715025710362e+00 1.570796326794896558e-01 2.214749815799741360e-05
4.555309347705200906e+00 1.570796326794896558e-01 1.447744362035375306e-05
4.712388980384689674e+00 1.570796326794896558e-01 9.505848786710456772e-06
4.869468613064179330e+00 1.570796326794896558e-01 6.256964735063037949e-06
5.026548245743668986e+00 1.570796326794896558e-01 4.111348814216533138e-06
5.183627878423158641e+00 1.570796326794896558e-01 2.678890858505268246e-06
5.340707511102649185e+00 1.570796326794896558e-01 1.713598432797682500e-06
5.497787143782137953e+00 1.570796326794896558e-01 1.059488519913220255e-06
5.654866776461627609e+00 1.570796326794896558e-01 6.170577501175248010e-07
5.811946409141117265e+00 1.570796326794896558e-01 3.227087645174315947e-07
5.969026041820606920e+00 1.570796326794896558e-01 1.361906298242869984e-07
6.126105674500097464e+00 1.570796326794896558e-01 3.301006347078950750e-08
0.000000000000000000e+00 3.141592653589793116e-01 -0.000000000000000000e+00
1.570796326794896558e-01 3.141592653589793116e-01 6.278577882246087142e-08
3.141592653589793116e-01 3.141592653589793116e-01 2.590370789861288966e-07
4.712388980384690229e-01 3.141592653589793116e-01 6.137974743157585295e-07
6.283185307179586232e-01 3.141592653589793116e-01 1.173652768199187910e-06
7.853981633974482790e-01 3.141592653589793116e-01 2.015159374478837895e-06
9.424777960769380458e-01 3.141592653589793116e-01 3.259277798496188942e-06
1.099557428756427591e+00 3.141592653589793116e-01 5.095260350423021494e-06
1.256637061435917246e+00 3.141592653589793116e-01 7.819781253701245599e-06
1.413716694115406902e+00 3.141592653589793116e-01 1.190070906108604837e-05
1.570796326794896558e+00 3.141592653589793116e-01 1.808001994775785832e-05
1.727875959474386436e+00 3.141592653589793116e-01 2.753587897944464926e-05
1.884955592153876092e+00 3.141592653589793116e-01 4.212416026170561780e-05
2.042035224833365525e+00 3.141592653589793116e-01 6.469519648357461216e-05
2.199114857512855181e+00 3.141592653589793116e-01 9.937993905068749547e-05
2.356194490192344837e+00 3.141592653589793116e-01 1.514543748410504282e-04
2.513274122871834493e+00 3.141592653589793116e-01 2.258218510981771423e-04
2.670353755551324593e+00 3.141592653589793116e-01 3.226358967122575517e-04
2.827433388230813804e+00 3.141592653589793116e-01 4.299148446708566870e-04
2.984513020910303460e+00 3.141592653589793116e-01 5.189149394345437052e-04
3.141592653589793116e+00 3.141592653589793116e-01 5.541844143078806378e-04
3.298672286269282772e+00 3.141592653589793116e-01 5.189149394345168170e-04
3.455751918948772872e+00 3.141592653589793116e-01 4.299148446708475797e-04
3.612831551628262527e+00 3.141592653589793116e-01 3.226358967122423729e-04
3.769911184307752183e+00 3.141592653589793116e-01 2.258218510981806117e-04
3.926990816987241395e+00 3.141592653589793116e-01 1.514543748410489103e-04
4.084070449666731051e+00 3.141592653589793116e-01 9.937993905067958079e-05
4.241150082346220707e+00 3.141592653589793116e-01 6.469519648357011272e-05
4.398229715025710362e+00 3.141592653589793116e-01 4.212416026170439807e-05
4.555309347705200906e+00 3.141592653589793116e-01 2.753587897944389032e-05
4.712388980384689674e+00 3.141592653589793116e-01 1.808001994775819713e-05
4.869468613064179330e+00 3.141592653589793116e-01 1.190070906108537752e-05
5.026548245743668986e+00 3.141592653589793116e-01 7.819781253702505984e-06
5.183627878423158641e+00 3.141592653589793116e-01 5.095260350423109585e-06
5.340707511102649185e+00 3.141592653589793116e-01 3.259277798495833188e-06
5.497787143782137953e+00 3.141592653589793116e-01 2.015159374478932763e-06
5.654866776461627609e+00 3.141592653589793116e-01 1.173652768199144288e-06
5.811946409141117265e+00 3.141592653589793116e-01 6.137974743160033221e-07
5.969026041820606920e+00 3.141592653589793116e-01 2.590370789858764808e-07
6.126105674500097464e+00 3.141592653589793116e-01 6.278577882242529604e-08
0.000000000000000000e+00 4.712388980384690229e-01 -0.000000000000000000e+00
1.570796326794896558e-01 4.712388980384690229e-01 8.641058039148124132e-08
3.141592653589793116e-01 4.712388980384690229e-01 3.565063147962106829e-07
4.712388980384690229e-01 4.712388980384690229e-01 8.447531392489310142e-07
6.283185307179586232e-01 4.712388980384690229e-01 1.615264076197018317e-06
7.853981633974482790e-01 4.712388980384690229e-01 2.773398390630332143e-06
9.424777960769380458e-01 4.712388980384690229e-01 4.485624943065801164e-06
1.099557428756427591e+00 4.712388980384690229e-01 7.012396438645474657e-06
1.256637061435917246e+00 4.712388980384690229e-01 1.076200038234897456e-05
1.413716694115406902e+00 4.712388980384690229e-01 1.637832356500657318e-05
1.570796326794896558e+00 4.712388980384690229e-01 2.488248540555808427e-05
1.727875959474386436e+00 4.712388980384690229e-01 3.789590902655677542e-05
1.884955592153876092e+00 4.712388980384690229e-01 5.797274873380400817e-05
2.042035224833365525e+00 4.712388980384690229e-01 8.903593724401162547e-05
2.199114857512855181e+00 4.712388980384690229e-01 1.367713465787681213e-04
2.356194490192344837e+00 4.712388980384690229e-01 2.084419256174315166e-04
2.513274122871834493e+00 4.712388980384690229e-01 3.108000606971616717e-04
2.670353755551324593e+00 4.712388980384690229e-01 4.440633553100454579e-04
2.827433388230813804e+00 4.712388980384690229e-01 5.917450962887572073e-04
2.984513020910303460e+00 4.712388980384690229e-01 7.142748724435123847e-04
3.141592653589793116e+00 4.712388980384690229e-01 7.628344380120194446e-04
3.298672286269282772e+00 4.712388980384690229e-01 7.142748724435106500e-04
3.455751918948772872e+00 4.712388980384690229e-01 5.917450962887593757e-04
3.612831551628262527e+00 4.712388980384690229e-01 4.440633553100476263e-04
3.769911184307752183e+00 4.712388980384690229e-01 3.108000606971638401e-04
3.926990816987241395e+00 4.712388980384690229e-01 2.084419256174292398e-04
4.084070449666731051e+00 4.712388980384690229e-01 1.367713465787631340e-04
4.241150082346220707e+00 4.712388980384690229e-01 8.903593724400956548e-05
4.398229715025710362e+00 4.712388980384690229e-01 5.797274873380384554e-05
4.555309347705200906e+00 4.712388980384690229e-01 3.789590902655653147e-05
4.712388980384689674e+00 4.712388980384690229e-01 2.488248540555762348e-05
4.869468613064179330e+00 4.712388980384690229e-01 1.637832356500676292e-05
